"","x"
"1",0.917630787302547
"2",0.0788830812500911
"3",0.00338715638850477
"4",9.68635598055872e-05
"5",2.07544621310492e-06
"6",3.55399413676719e-08
"7",5.06645777494891e-10
"8",6.18455793217788e-12
"9",6.59908638722392e-14
"10",6.25271834893729e-16
"11",5.32670212367253e-18
"12",4.12113470916425e-20
"13",2.91976397905382e-22
"14",1.90755570330804e-24
"15",1.15606495443221e-26
"16",6.53256563568058e-29
"17",3.4571316648214e-31
"18",1.72019621266491e-33
"19",8.07560168570894e-36
"20",3.5879688752628e-38
"21",1.51287682031922e-40
"22",6.0691272025722e-43
"23",2.32167882860614e-45
"24",8.4865084888999e-48
"25",2.96980724310396e-50
"26",9.9667590980326e-53
"27",3.21292893044155e-55
"28",9.96350635127339e-58
"29",2.97634246738168e-60
"30",8.57565020662855e-63
"31",2.38605760058861e-65
"32",6.41810553570767e-68
"33",1.67069257687647e-70
"34",4.21282918635528e-73
"35",1.03000017319431e-75
"36",2.44378092134807e-78
"37",5.63122619794482e-81
"38",1.26122965199691e-83
"39",2.74759522703869e-86
"40",5.82611574635384e-89
"41",1.20325699451646e-91
"42",2.42193041603154e-94
"43",4.75386526029601e-97
"44",9.1045778113207e-100
"45",1.70229554801111e-102
"46",3.10882468704909e-105
"47",5.54827095409597e-108
"48",9.68108579545069e-111
"49",1.65231034643939e-113
"50",2.75961426242489e-116
"51",4.51205914226831e-119
"52",7.22510400135745e-122
"53",1.1335034905161e-124
"54",1.74289498276718e-127
"55",2.62750365621854e-130
"56",3.88496996938385e-133
"57",5.63569313614419e-136
"58",8.02343551460231e-139
"59",1.12139846114735e-141
"60",1.53912799326256e-144
"61",2.07505207565378e-147
"62",2.74879852429448e-150
"63",3.57876104933712e-153
"64",4.58047883743412e-156
"65",5.76482844924533e-159
"66",7.13616314574243e-162
"67",8.69057147446932e-165
"68",1.04144490438216e-167
"69",1.22835789232842e-170
"70",1.42628932684161e-173
"71",1.63070410112913e-176
"72",1.83618169428752e-179
"73",2.03664230707454e-182
"74",2.22564435257456e-185
"75",2.39673308987805e-188
"76",2.54381360270267e-191
"77",2.66151743768661e-194
"78",2.74553163460519e-197
"79",2.79286176573567e-200
"80",2.80200664241274e-203
"81",2.77303080335075e-206
"82",2.70753071718479e-209
"83",2.60850060374908e-212
"84",2.48011272445399e-215
"85",2.32743392458836e-218
"86",2.15610446222083e-221
"87",1.97200645115932e-224
"88",1.78094769429449e-227
"89",1.58838274337245e-230
"90",1.39918738832933e-233
"91",1.21749627073511e-236
"92",1.04660674614458e-239
"93",8.88946195878988e-243
"94",7.46095234209073e-246
"95",6.1885597657696e-249
"96",5.07352812251029e-252
"97",4.11152853118999e-255
"98",3.29394159689289e-258
"99",2.60911642879572e-261
"100",2.04352846960854e-264
