"","x"
"1",9.01066303175436e-05
"2",0.000843220722876616
"3",0.00394149777767673
"4",0.0122702975663739
"5",0.0286203397017642
"6",0.0533517464662904
"7",0.0827951682970474
"8",0.110021575560926
"9",0.127797289783953
"10",0.131818185375345
"11",0.122245675753554
"12",0.102958104240243
"13",0.0794072407166953
"14",0.0564752575020629
"15",0.0372590570059458
"16",0.0229193363073171
"17",0.0132039176611431
"18",0.00715209882577822
"19",0.00365509813580043
"20",0.0017678338727117
"21",0.000811456017140401
"22",0.000354369461204708
"23",0.000147570932487742
"24",5.87213947833008e-05
"25",2.23699084615053e-05
"26",8.17256791404109e-06
"27",2.86796817834763e-06
"28",9.68175399326055e-07
"29",3.14842516174321e-07
"30",9.8752059994099e-08
"31",2.99108435601389e-08
"32",8.75836870897354e-09
"33",2.4818843765184e-09
"34",6.81282894501855e-10
"35",1.81325784148811e-10
"36",4.6833128346112e-11
"37",1.17479612002265e-11
"38",2.86432527768345e-12
"39",6.79281127099631e-13
"40",1.56799450291294e-13
"41",3.52527056240147e-14
"42",7.72439284821164e-15
"43",1.6505101224088e-15
"44",3.44111960544326e-16
"45",7.00395829739065e-17
"46",1.39243025892306e-17
"47",2.70522576202955e-18
"48",5.13852594490111e-19
"49",9.54717183367505e-20
"50",1.73580178205723e-20
"51",3.08954955011208e-21
"52",5.38558787219792e-22
"53",9.19772683867929e-23
"54",1.53956311421386e-23
"55",2.52661016438872e-24
"56",4.06678495443076e-25
"57",6.42213620256769e-26
"58",9.95316429415709e-27
"59",1.51436092282525e-27
"60",2.26262617986627e-28
"61",3.32074634419855e-29
"62",4.78870676649028e-30
"63",6.78698155919903e-31
"64",9.45634874577941e-32
"65",1.29559009657373e-32
"66",1.74588098130628e-33
"67",2.31455141025092e-34
"68",3.0194193055163e-35
"69",3.87686502291068e-36
"70",4.90040556946299e-37
"71",6.09913418258485e-38
"72",7.47613801543704e-39
"73",9.02703341499504e-40
"74",1.07387736497157e-40
"75",1.25888838097352e-41
"76",1.4545259398191e-42
"77",1.65666285035632e-43
"78",1.86037246047361e-44
"79",2.06011527646478e-45
"80",2.2499863047074e-46
