"","PatientFilter","baseRF","implicitRF","InteractionsPredicted"
"1",1,"0.652 (0)","0.655 (0.1)","3.286 (3.7)"
"2",3,"0.652 (0)","0.654 (0.1)","3.246 (3.7)"
"3",5,"0.652 (0)","0.661 (0.1)","3.548 (3.8)"
"4",7,"0.652 (0)","0.65 (0.1)","3.232 (3.8)"
