"","PatientFilter","baseRF","implicitRF","InteractionsPredicted"
"1",1,"0.652 (0)","0.66 (0)","1.376 (1.5)"
"2",3,"0.652 (0)","0.659 (0)","1.274 (1.4)"
"3",5,"0.652 (0)","0.657 (0)","1.374 (1.5)"
"4",7,"0.652 (0)","0.655 (0)","1.382 (1.5)"
