Interaction.pathway1,Interaction.pathway2
GO:0016570 ,GO:0035150
GO:0002821 ,GO:0016570
GO:0015672 ,GO:0016570
GO:0016570 ,GO:0032760
GO:0016570 ,GO:0042475
GO:0016570 ,GO:0042590
GO:0016570 ,GO:0051781
GO:0016570 ,GO:0061138
